City,Amsterdam,Athens,Barcelona,Belgrade,Berlin,Bratislava,Brussels,Bucharest,Budapest,Copenhagen,Dublin,Edinburgh,Florence,Frankfurt,Geneva,Glasgow,Helsinki,Istanbul,Lisbon,Ljubljana,London,Luxembourg,Madrid,Milan,Munich,Naples,Oslo,Paris,Prague,Reykjavik,Riga,Rome,Sarajevo,Sofia,Stockholm,Tallinn,Tirana,Valletta,Vienna,Vilnius,Warsaw,Zagreb,Zurich,Brno,Gothenburg,Seville,Toulouse,Kiev
Amsterdam,-,-,153,101,45,65,27,96,59,60,-,208,162,35,178,240,-,-,-,121,120,58,130,128,45,203,-,74,69,-,-,173,-,-,-,-,-,-,132,-,70,-,60,70,80,-,137,-
Athens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Barcelona,153,-,-,-,-,-,168,-,-,-,-,-,-,109,-,-,-,-,-,-,191,-,34,-,127,-,-,59,-,-,-,-,-,-,-,-,-,-,57,-,-,-,-,-,-,113,50,-
Belgrade,101,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Berlin,45,-,-,-,-,38,70,-,38,45,-,370,-,33,70,383,-,-,-,40,-,67,-,-,16,-,-,80,20,-,-,-,-,-,-,-,-,-,-,-,30,-,67,28,70,-,-,-
Bratislava,65,-,-,-,38,-,91,-,39,119,-,-,-,41,-,-,-,-,-,-,68,-,-,-,30,-,-,-,18,-,-,-,-,-,-,-,-,-,18,-,-,-,-,8,-,-,-,-
Brussels,27,-,168,-,70,91,-,-,147,75,-,185,-,34,109,247,-,-,-,-,155,26,-,138,44,-,-,39,-,-,-,-,-,-,-,-,-,-,78,-,70,-,50,-,80,-,134,-
Bucharest,96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Budapest,59,-,-,-,38,39,147,-,-,-,-,-,-,60,229,-,-,-,-,74,-,-,-,-,50,-,-,128,119,-,-,-,-,-,-,-,-,-,20,-,48,-,156,67,-,-,-,-
Copenhagen,60,-,-,-,45,119,75,-,-,-,-,-,-,67,80,-,-,-,-,-,-,63,-,-,67,-,-,170,57,-,-,-,-,-,-,-,-,-,-,-,-,-,75,65,-,-,-,-
