City,Amsterdam,Athens,Barcelona,Belgrade,Berlin,Bratislava,Brussels,Bucharest,Budapest,Copenhagen,Dublin,Edinburgh,Florence,Frankfurt,Geneva,Glasgow,Helsinki,Istanbul,Lisbon,Ljubljana,London,Luxembourg,Madrid,Milan,Munich,Naples,Oslo,Paris,Prague,Reykjavik,Riga,Rome,Sarajevo,Sofia,Stockholm,Tallinn,Tirana,Valletta,Vienna,Vilnius,Warsaw,Zagreb,Zurich,Brno,Gothenburg,Seville,Toulouse,Kiev
Amsterdam,-,-,11,7,6,13,2,40,23,11,-,11,15,4,7,11,-,-,-,16,5,7,18,13,9,24,-,3,12,-,-,17,-,-,-,-,-,-,7,-,13,-,8,14,16,-,11,-
Athens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Barcelona,11,-,-,-,-,-,9,-,-,-,-,-,-,13,-,-,-,-,-,-,11,-,3,-,14,-,-,7,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,6,4,-
Belgrade,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Berlin,6,-,-,-,-,9,7,-,11,7,-,18,-,5,10,17,-,-,-,14,-,8,-,-,4,-,-,8,4,-,-,-,-,-,-,-,-,-,-,-,5,-,9,7,12,-,-,-
Bratislava,13,-,-,-,9,-,12,-,2,19,-,-,-,9,-,-,-,-,-,8,-,-,-,-,6,-,-,-,4,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,-,-,-,-
Brussels,2,-,9,-,7,12,-,-,15,13,-,8,-,3,5,9,-,-,-,-,2,3,-,15,6,-,-,2,-,-,-,-,-,-,-,-,-,-,5,-,13,-,8,-,18,-,7,-
Bucharest,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Budapest,23,-,-,-,11,2,15,-,-,-,-,-,-,10,14,-,-,-,-,9,-,-,-,-,7,-,-,16,7,-,-,-,-,-,-,-,-,-,3,-,17,-,11,4,-,-,-,-
Copenhagen,11,-,-,-,7,19,13,-,-,-,-,-,-,9,16,-,-,-,-,-,-,13,-,-,11,-,-,14,13,-,-,-,-,-,-,-,-,-,-,-,-,-,14,16,-,-,-,-
Dublin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Edinburgh,11,-,-,-,18,-,8,-,-,-,-,-,-,-,-,1,-,-,-,-,5,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-
Florence,15,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,13,-,-,-,2,-,3,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,19,6,-,-,-,-,-
Frankfurt,4,-,13,-,5,9,3,-,10,9,-,-,-,-,6,14,-,-,-,12,-,4,-,8,4,-,-,4,7,-,-,-,-,-,-,-,10,-,7,-,10,-,5,8,13,-,12,-
Geneva,7,-,-,-,10,-,5,-,14,16,-,-,7,6,-,-,-,-,-,-,7,-,-,4,6,10,-,3,-,-,-,8,-,-,-,-,8,-,4,-,16,-,3,13,-,-,7,-
